url_key,name,brand_name,price,discount,thumbnail_url,rating_average,review_count
may-vat-cam-lock-lock-ejj231-40w-hang-chinh-hang-p273310816,Máy Vắt Cam Lock&Lock EJJ231 (40W) - Hàng chính hãng,LocknLock,229000,223000,https://salt.tikicdn.com/cache/280x280/ts/product/6e/80/5b/812bb508f51e106287911c7c35f825ac.jpg,4.7,3828
binh-dun-sieu-toc-2-lop-lock-lock-ejk738wht-1-7-lit-trang-hang-chinh-hang-p3480333,Bình Đun Siêu Tốc 2 lớp Lock&Lock EJK738WHT (1.7 Lít) - Trắng - Hàng chính hãng,LocknLock,399000,398000,https://salt.tikicdn.com/cache/280x280/ts/product/6f/67/a3/7cae29770e6232ff8960de57666c5b86.jpg,4.6,2460
may-uon-ep-la-toc-da-nang-3-trong-1-cao-cap-sang-trong-kieu-han-quoc-ket-hop-duoi-uon-ta-o-kie-u-to-c-thong-minh-dung-cho-salon-toc-tai-nha-chinh-hang-vinbuy-tuy-chon-2-mau-trang-den-p72286199,"Máy UỐN, ÉP, LÀ Tóc Đa Năng 3 Trong 1 Cao Cấp Sang Trọng Kiểu Hàn Quốc - Kết Hợp Duỗi, Uốn, Tạo Kiểu Tóc Thông Minh – Dùng Cho Salon Tóc & Tại Nhà – Chính Hãng VinBuy (Tùy Chọn 2 Màu Trắng Đen)",VinBuy,206000,194000,https://salt.tikicdn.com/cache/280x280/ts/product/9a/9d/22/aef5e8d2d6dc4d798cec206a7fd2e0e2.png,4.7,1090
may-hut-bui-lock-lock-env336blk-400w-hang-chinh-hang-p66512832,Máy Hút Bụi Lock&Lock ENV336BLK (400W) - Hàng Chính Hãng,LocknLock,1529000,1729000,https://salt.tikicdn.com/cache/280x280/ts/product/55/8f/d1/687890efa0fa1698771ccdc87fdb9290.jpg,4.7,1218
binh-thuy-dien-kangaroo-kg5k1-5-lit-hang-chinh-hang-p121266144,Bình thủy điện Kangaroo KG5K1 5 lít - Hàng chính hãng,Kangaroo_1,1029000,1321000,https://salt.tikicdn.com/cache/280x280/ts/product/df/94/fb/6317d44039af487a4547e9a50e8616c5.png,5.0,12
may-xay-sinh-to-elmich-ble-1844-500w-0-6l-hang-chinh-hang-p24346835,Máy Xay Sinh Tố Elmich BLE-1844 (500W - 0.6L) - Hàng chính hãng,Elmich,809000,386000,https://salt.tikicdn.com/cache/280x280/ts/product/1d/63/ec/f4867a2274a5b099329b46241650ba0e.jpg,4.0,6
may-loc-nuoc-ro-kangaroo-vtu-kg108a-8-loi-hang-chinh-hang-p3140341,Máy Lọc Nước RO Kangaroo VTU KG108A 8 Lõi - Hàng Chính Hãng,Kangaroo,3239000,4331000,https://salt.tikicdn.com/cache/280x280/ts/product/c9/a7/c6/e09b2ed9c7eac561396af6393b0a1958.jpg,4.3,154
quat-lam-mat-va-suoi-am-ultty-skj-cr018h-chat-lieu-suoi-gom-ceramic-khong-dot-chay-oxy-khong-kho-da-tu-dong-tat-khi-qua-nhiet-mau-den-hang-chinh-hang-p71514318,"Quạt Làm Mát Và Sưởi Ấm ULTTY SKJ-CR018H, Chất Liệu Sưởi Gốm Ceramic Không Đốt Cháy Oxy, Không Khô Da, Tự Động Tắt Khi Quá Nhiệt - Màu Đen - Hàng Chính Hãng",U ULTTY,5350000,0,https://salt.tikicdn.com/cache/280x280/ts/product/42/15/15/13ffbffe6742a53ade70ef7cf9a0cbfb.jpg,4.6,29
may-say-toc-nagakawa-nag1606-2000w-hang-chinh-hang-p33494720,Máy Sấy Tóc Nagakawa NAG1606 (2000W) - Hàng Chính Hãng,Nagakawa,289000,301000,https://salt.tikicdn.com/cache/280x280/ts/product/cb/7c/67/fd51f1c31772b6e2b876792e74b646b9.JPG,4.6,877
noi-dien-da-nang-lock-lock-ejp116blk-0-8-lit-hang-chinh-hang-p57588481,Nồi Điện Đa Năng Lock&Lock EJP116BLK (0.8 Lít) - Hàng Chính Hãng,LocknLock,439000,449000,https://salt.tikicdn.com/cache/280x280/ts/product/63/b0/b1/aae226ab785db2e69f5f0dac7d80a0fb.jpg,4.7,1359
