link_item,name_comment,content_comment,skuInfo_comment,like_count
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,D***.Chứng nhận đã mua hàng,"Chào bạn, OPPO chân thành cảm ơn bạn đã tin dùng sản phẩm. OPPO hy vọng bạn sẽ yêu thích và có những trải nghiệm thật tốt khi sử dụng sản phẩm ạ. Nếu có bất kỳ thắc mắc nào, bạn vui lòng nhắn tin cho OPPO để có thể hỗ trợ bạn trong thời gian sớm nhất nhé. Cảm ơn bạn",Nhóm Màu:Xanh,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,V***.Chứng nhận đã mua hàng,"Bộ Thông tin và Truyền thông khuyến cáo người dân nâng cao cảnh giác, không chuyển tiền hoặc cung cấp thông tin cá nhân cho người lạ qua điện thoại. Nếu có hiện tượng trên, đề nghị trình báo ngay cho cơ quan Công an để xử lý hoặc thông báo đến số điện thoại trực ban hình sự 0692348560 của Cục Cảnh sát hình sự để được hướng dẫn kịp thời. ",Nhóm Màu:Đen,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,*******164Chứng nhận đã mua hàng,"Chào bạn, OPPO chân thành cảm ơn bạn đã tin dùng sản phẩm. OPPO hy vọng bạn sẽ yêu thích và có những trải nghiệm thật tốt khi sử dụng sản phẩm ạ. Nếu có bất kỳ thắc mắc nào, bạn vui lòng nhắn tin cho OPPO để có thể hỗ trợ bạn trong thời gian sớm nhất nhé. Cảm ơn bạn",Nhóm Màu:Đen,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,T***.Chứng nhận đã mua hàng,"Màn hình sắc nét với độ phân giải Full HD+, Chất lượng camera tuyệt vời để ghi lại những khoảnh khắc, 
Trừ điểm vì thanh toán qua app ngân hàng mà ko cho hoàn tiền ",Nhóm Màu:Xanh,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,L***gChứng nhận đã mua hàng,"Chào bạn, OPPO chân thành cảm ơn bạn đã tin dùng sản phẩm. OPPO hy vọng bạn sẽ yêu thích và có những trải nghiệm thật tốt khi sử dụng sản phẩm ạ. Nếu có bất kỳ thắc mắc nào, bạn vui lòng nhắn tin cho OPPO để có thể hỗ trợ bạn trong thời gian sớm nhất nhé. Cảm ơn bạn",Nhóm Màu:Xanh,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,Yến D.Chứng nhận đã mua hàng,"sản phẩm tốt, giao hàng nhanh, ship thân thiện, sản phẩm ok, giao đường xa vẫn bọc cẩn thận ",Nhóm Màu:Xanh,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,𝔗𝔘𝔑𝔉Chứng nhận đã mua hàng,"Chào bạn, OPPO chân thành cảm ơn bạn đã tin dùng sản phẩm. OPPO hy vọng bạn sẽ yêu thích và có những trải nghiệm thật tốt khi sử dụng sản phẩm ạ. Nếu có bất kỳ thắc mắc nào, bạn vui lòng nhắn tin cho OPPO để có thể hỗ trợ bạn trong thời gian sớm nhất nhé. Cảm ơn bạn",Nhóm Màu:Xanh,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,Bảo B.Chứng nhận đã mua hàng,"Thiết kế mỏng nhẹ và sang trọng, Dung lượng lưu trữ rộng rãi 128GB, Hai khe cắm SIM cho tiện lợi, Thời lượng pin lâu dài, Chất lượng camera tuyệt vời để ghi lại những khoảnh khắc,  ",Nhóm Màu:Xanh,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,m***.Chứng nhận đã mua hàng,"Chào bạn, OPPO chân thành cảm ơn bạn đã tin dùng sản phẩm. OPPO hy vọng bạn sẽ yêu thích và có những trải nghiệm thật tốt khi sử dụng sản phẩm ạ. Nếu có bất kỳ thắc mắc nào, bạn vui lòng nhắn tin cho OPPO để có thể hỗ trợ bạn trong thời gian sớm nhất nhé. Cảm ơn bạn",Nhóm Màu:Xanh,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,khánh L.Chứng nhận đã mua hàng,"Trải nghiệm người dùng mượt mà và liền mạch, Hiệu suất nhanh chóng và hiệu quả,  ",Nhóm Màu:Xanh,0
