title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
"Viên uống tăng cường sinh lý nam Bổ Thận Men Max Az từ 500mg hàu biển, ba kích, ariginin giúp bổ thận, mạnh gân cốt - 30 viên",59.000 ₫,https://www.lazada.vn/products/vien-uong-tang-cuong-sinh-ly-nam-bo-than-men-max-az-tu-500mg-hau-bien-ba-kich-ariginin-giup-bo-than-manh-gan-cot-30-vien-i1687039312.html,https://img.lazcdn.com/g/p/a3100444ce929a3d1d1a2f8f1bfed246.jpg_400x400q75.jpg_.webp,13,13,14% Off,"1.6K Đã bán
(293)
Hồ Chí Minh",lazada,health,functionalfoods,13,1
"Viên sủi Plusssz Max Vitamin C + ZinC (kẽm) vị Chanh hỗ trợ tăng cường đề kháng, vững vàng sức khỏe (tuýp 20 viên sủi) - Hsd: thấng 8/2024",43.360 ₫,https://www.lazada.vn/products/vien-sui-plusssz-max-vitamin-c-zinc-kem-vi-chanh-ho-tro-tang-cuong-de-khang-vung-vang-suc-khoe-tuyp-20-vien-sui-hsd-thang-82024-i1523358414.html,https://img.lazcdn.com/g/p/cfa5fe00fa718d5db133bebbfaceb6bf.png_400x400q75.png_.webp,14,14,12% Off,"367 Đã bán
(76)
Hồ Chí Minh",lazada,health,functionalfoods,14,1
viên uống hạ đường huyết dây thìa canh hộp 40 viên,43.000 ₫,https://www.lazada.vn/products/vien-uong-ha-duong-huyet-day-thia-canh-hop-40-vien-i2194568935.html,https://img.lazcdn.com/g/p/c02193d7bdc210a6674ace66498c4be4.jpg_400x400q75.jpg_.webp,15,15,34% Off,"2.0K Đã bán
(265)
Hồ Chí Minh",lazada,health,functionalfoods,15,0
"Đường Ăn Kiêng Lá Cỏ Ngọt Tropicana Slim An Toàn Cho Người Tiểu Đường, Giảm Cân Giữ Dáng, Ăn Eat Clean, Detox",79.000 ₫,https://www.lazada.vn/products/duong-an-kieng-la-co-ngot-tropicana-slim-an-toan-cho-nguoi-tieu-duong-giam-can-giu-dang-an-eat-clean-detox-i1237554263.html,https://img.lazcdn.com/g/p/79f239b8355384d6c0b9d8d2d86a013a.png_400x400q75.png_.webp,16,16,12% Off,"4.3K Đã bán
(581)
Hồ Chí Minh",lazada,health,functionalfoods,16,0
Men vi sinh Optibac Pregnancy 30 viên cho mẹ bầu & cho con bú hỗ trợ cải thiện hệ vi sinh đường ruột và tăng cường miễn dịch,510.000 ₫,https://www.lazada.vn/products/men-vi-sinh-optibac-pregnancy-30-vien-cho-me-bau-cho-con-bu-ho-tro-cai-thien-he-vi-sinh-duong-ruot-va-tang-cuong-mien-dich-i2422619507.html,https://img.lazcdn.com/g/p/a03898de0d2b23008b90dcebb5930988.jpg_400x400q75.jpg_.webp,17,17,25% Off,"197 Đã bán
(70)
Hồ Chí Minh",lazada,health,functionalfoods,17,1
"Viên Uống TRIVITFORT H5000 giúp bổ sung vitamin B1, B6, B12 cho cơ thể - Hộp 100 Viên",52.000 ₫,https://www.lazada.vn/products/vien-uong-trivitfort-h5000-giup-bo-sung-vitamin-b1-b6-b12-cho-co-the-hop-100-vien-i2238248634.html,https://img.lazcdn.com/g/p/73d255f13db89b2d05a8d41419a8c248.jpg_400x400q75.jpg_.webp,18,18,,"50 Đã bán
(16)
Hồ Chí Minh",lazada,health,functionalfoods,18,0
"Vitamin Tổng Hợp Cho Bà Bầu Prencare Extra 30 Viên-Bổ Sung Sắt, Acid Folic, Dha Và Các Vitamin, Khoáng Chất Cho Cơ Thể",249.000 ₫,https://www.lazada.vn/products/vitamin-tong-hop-cho-ba-bau-prencare-extra-30-vien-bo-sung-sat-acid-folic-dha-va-cac-vitamin-khoang-chat-cho-co-the-i2099938190.html,https://img.lazcdn.com/g/p/0a35196c3638925d633225d5d9b7fe85.jpg_400x400q75.jpg_.webp,19,19,29% Off,"38 Đã bán
(5)
Hồ Chí Minh",lazada,health,functionalfoods,19,0
OMEGA 369 -Ultra Omega Dầu Cá DHA- Hộp 100 viên - Làm giảm mỏi mắt khô mắt,48.000 ₫,https://www.lazada.vn/products/omega-369-ultra-omega-dau-ca-dha-hop-100-vien-lam-giam-moi-mat-kho-mat-i1478118492.html,https://img.lazcdn.com/g/p/94a1a186759bf4bc03a02e2d09a3ad9c.png_400x400q75.png_.webp,20,20,46% Off,"3.9K Đã bán
(742)
Hồ Chí Minh",lazada,health,functionalfoods,20,0
Kẹo ngậm Đức Dorithricin hộp 20 viên,60.000 ₫,https://www.lazada.vn/products/keo-ngam-duc-dorithricin-hop-20-vien-i2632046136.html,https://img.lazcdn.com/g/p/a5613480679a2a7891c69e04887c602a.jpg_400x400q75.jpg_.webp,21,21,,Hồ Chí Minh,lazada,health,functionalfoods,21,0
[MUA 1 TẶNG 1] Sữa New Zealand Milk Group Dianbet Lon 400g - Sữa Cho Người Tiểu Đường + tặng 1 lọ yến đường ISOMANLT,234.000 ₫,https://www.lazada.vn/products/mua-1-tang-1-sua-new-zealand-milk-group-dianbet-lon-400g-sua-cho-nguoi-tieu-duong-tang-1-lo-yen-duong-isomanlt-i2541838095.html,https://img.lazcdn.com/g/ff/kf/Sb30224eb080a4b068bf782a6a564b540x.jpg_400x400q75.jpg_.webp,22,22,10% Off,Hồ Chí Minh,lazada,health,functionalfoods,22,0
