title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
Fahasa - Cẩm Nang Con Gái (Tái Bản 2021),49.000 ₫,https://www.lazada.vn/products/fahasa-cam-nang-con-gai-tai-ban-2021-i1783914674.html,https://img.lazcdn.com/g/p/b7c168a45b1d24f9d545415ab05242e2.jpg_400x400q75.jpg_.webp,11,11,28% Off,"69 Đã bán
(13)
Hồ Chí Minh",lazada,bookandmusic,parent_book,11,1
Sách - Sổ Tay Ăn Dặm Của Mẹ (NN) - Newshop,108.560 ₫,https://www.lazada.vn/products/sach-so-tay-an-dam-cua-me-nn-newshop-i1583149652.html,https://img.lazcdn.com/g/p/4d5a93bb660cb25d761414145a7e667b.jpg_400x400q75.jpg_.webp,12,12,8% Off,"8 Đã bán
(1)
Hồ Chí Minh",lazada,bookandmusic,parent_book,12,1
Fahasa - Nuôi Con Bằng Trái Tim Tỉnh Thức,147.000 ₫,https://www.lazada.vn/products/fahasa-nuoi-con-bang-trai-tim-tinh-thuc-i2421359572.html,https://img.lazcdn.com/g/p/4747f506d836bcd88f46d33876506273.jpg_400x400q75.jpg_.webp,13,13,17% Off,Hồ Chí Minh,lazada,bookandmusic,parent_book,13,1
Fahasa - Thai Giáo Theo Chuyên Gia - 280 Ngày - Mỗi Ngày Đọc Một Trang (Tái Bản 2021),74.800 ₫,https://www.lazada.vn/products/fahasa-thai-giao-theo-chuyen-gia-280-ngay-moi-ngay-doc-mot-trang-tai-ban-2021-i1707779530.html,https://img.lazcdn.com/g/p/523497a907be4781a801675739ddf24f.jpg_400x400q75.jpg_.webp,14,14,35% Off,"604 Đã bán
(62)
Hồ Chí Minh",lazada,bookandmusic,parent_book,14,1
"Sách - Các lý thuyết về trẻ em của Dewey, Montessori, Erikson, Piaget và Vygotsky - Thaihabooks",67.640 ₫,https://www.lazada.vn/products/sach-cac-ly-thuyet-ve-tre-em-cua-dewey-montessori-erikson-piaget-va-vygotsky-thaihabooks-i2194554174.html,https://img.lazcdn.com/g/p/0990fae803f957265f4f070564198d85.jpg_400x400q75.jpg_.webp,15,15,24% Off,"(1)
Hồ Chí Minh",lazada,bookandmusic,parent_book,15,1
Sách: Dạy Con Những Bài Học Về Tiền Bạc - Cha Mẹ Thông Thái Dạy Con,59.408 ₫,https://www.lazada.vn/products/sach-day-con-nhung-bai-hoc-ve-tien-bac-cha-me-thong-thai-day-con-i2134742206.html,https://img.lazcdn.com/g/p/73a2b3d87d69180503cc27ed8402d652.png_400x400q75.png_.webp,16,16,30% Off,"70 Đã bán
(24)
Hà Nội",lazada,bookandmusic,parent_book,16,1
Fahasa - Combo Sách Hay Sách Nuôi Con Không Phải Là Cuộc Chiến (Bộ 3 Tập),263.900 ₫,https://www.lazada.vn/products/fahasa-combo-sach-hay-sach-nuoi-con-khong-phai-la-cuoc-chien-bo-3-tap-i2082471049.html,https://img.lazcdn.com/g/p/e3aebaa5c8ac658bef1947640d3f56ed.jpg_400x400q75.jpg_.webp,17,17,30% Off,"145 Đã bán
(23)
Hồ Chí Minh",lazada,bookandmusic,parent_book,17,1
Sách Phương Pháp Giáo Dục Con Của Người Do Thái - Minh Thắng (MT) - Newshop,85.800 ₫,https://www.lazada.vn/products/sach-phuong-phap-giao-duc-con-cua-nguoi-do-thai-minh-thang-mt-newshop-i798962509.html,https://img.lazcdn.com/g/p/18bca982a4dab5a40210c8324aa351dc.jpg_400x400q75.jpg_.webp,18,18,22% Off,"42 Đã bán
(4)
Hồ Chí Minh",lazada,bookandmusic,parent_book,18,1
Sách - Kinh Nghiệm Từ Nước Nhật - Giúp Con Tự Lập Từ 0 - 6 Tuổi - Kim Đồng,49.600 ₫,https://www.lazada.vn/products/sach-kinh-nghiem-tu-nuoc-nhat-giup-con-tu-lap-tu-0-6-tuoi-kim-dong-i1499494223.html,https://img.lazcdn.com/g/p/da4994105593347ec7dad11ec202235b.jpg_400x400q75.jpg_.webp,19,19,20% Off,"(1)
Hà Nội",lazada,bookandmusic,parent_book,19,0
Sách - What’s my tween thinking? Tâm lý học trẻ em thực hành cho cha mẹ hiện đại có con tuổi ( từ 8 đến 12 ),209.820 ₫,https://www.lazada.vn/products/sach-whats-my-tween-thinking-tam-ly-hoc-tre-em-thuc-hanh-cho-cha-me-hien-dai-co-con-tuoi-tu-8-den-12-i2642070570.html,https://img.lazcdn.com/g/p/8971da6362551b9ce6018ec8ab01a873.jpg_400x400q75.jpg_.webp,20,20,22% Off,Hồ Chí Minh,lazada,bookandmusic,parent_book,20,1
